log10_frequency_Hz,log10_storage_modulus_MPa,log10_loss_modulus_MPa
9.656565656565657463e+00,4.542899043084630328e+00,-1.529667602015282846e+00
9.888888888888889284e+00,4.537853104317719932e+00,-1.743623623862901484e+00
1.012121212121212110e+01,4.542960292941373268e+00,-1.997945364365959264e+00
1.035353535353535293e+01,4.515066519529984390e+00,-2.192737948609699394e+00
1.058585858585858475e+01,4.538894858470279736e+00,-2.451053740872918940e+00
1.081818181818181657e+01,4.546394413289857717e+00,-2.702766991519781836e+00
1.105050505050505194e+01,4.560606990187978660e+00,-2.937957886076565828e+00
1.128282828282828376e+01,4.534960898128044704e+00,-3.149858599449523400e+00
1.151515151515151558e+01,4.531102819438535434e+00,-3.391344089076975710e+00
1.174747474747474740e+01,4.535179388544696266e+00,-3.611541695238714933e+00
1.197979797979797922e+01,4.553532195117341530e+00,-3.846946914511052196e+00
1.221212121212121104e+01,4.546028659336932343e+00,-4.086342437472891831e+00
1.244444444444444287e+01,4.534808806050754981e+00,-4.328891047284075810e+00
1.267676767676767824e+01,4.548402712998254493e+00,-4.570238220946315266e+00
1.290909090909091006e+01,4.543029368633719756e+00,-4.788219105866645009e+00
1.314141414141414188e+01,4.554206822389545550e+00,-5.003668499937061753e+00
1.337373737373737370e+01,4.532521767247581934e+00,-5.244228212893334629e+00
1.360606060606060552e+01,4.537476223002904874e+00,-5.495873501304191500e+00
1.383838383838383734e+01,4.536627402043309054e+00,-5.709404645296157987e+00
1.407070707070706916e+01,4.522267242821728317e+00,-5.938986939841850443e+00
1.430303030303030454e+01,4.545607465467489838e+00,-6.187972672968820476e+00
1.453535353535353636e+01,4.545154395871688457e+00,-6.406626592000365328e+00
1.476767676767676818e+01,4.541833016782160115e+00,-6.640190348734172687e+00
1.500000000000000000e+01,4.538699196987258766e+00,-6.888424182102625082e+00
